Date,Value
1984-04-30,10.82
1984-03-31,10.7145
1984-02-29,10.7437
1984-01-31,10.7152
1983-12-31,10.4895
1983-11-30,10.3784
1983-10-31,10.229
1983-09-30,10.2005
1983-08-31,10.1874
1983-07-31,10.0875
1983-06-30,10.0491
1983-05-31,9.9895
1983-04-30,9.9824
1983-03-31,9.9652
1983-02-28,9.9184
1983-01-31,9.7938
1982-12-31,9.6926
1982-11-30,9.7968
1982-10-31,9.7005
1982-09-30,9.6495
1982-08-31,9.5741
1982-07-31,9.5633
1982-06-30,9.4668
1982-05-31,9.2965
1982-04-30,9.3923
1982-03-31,9.2935
1982-02-28,9.2144
1982-01-31,9.1525
1981-12-31,9.1305
1981-11-30,9.135
1981-10-31,9.1348
1981-09-30,9.1152
1981-08-31,9.0605
1981-07-31,8.9065
1981-06-30,8.5564
1981-05-31,8.4045
1981-04-30,8.2918
1981-03-31,8.2432
1981-02-28,8.2211
1981-01-31,7.9576
1980-12-31,7.9314
1980-11-30,7.7712
1980-10-31,7.7323
1980-09-30,7.7495
1980-08-31,7.7824
1980-07-31,7.7664
1980-06-30,7.8424
1980-05-31,7.8586
1980-04-30,8.07
1980-03-31,8.1519
1980-02-29,7.9816
1980-01-31,7.9882
1979-12-31,8.0995
1979-11-30,8.1926
1979-10-31,8.2259
1979-09-30,8.1358
1979-08-31,8.0113
1979-07-31,7.9067
1979-06-30,8.119
1979-05-31,8.2891
1979-04-30,8.2062
1979-03-31,8.2418
1979-02-28,8.25
1979-01-31,8.2091
1978-12-31,8.216
1978-11-30,8.0335
1978-10-31,7.911
1978-09-30,8.0365
1978-08-31,8.0139
1978-07-31,8.1665
1978-06-30,8.4041
1978-05-31,8.5827
1978-04-30,8.465
1978-03-31,8.2078
1978-02-28,8.1094
1978-01-31,8.201
1977-12-31,8.5371
1977-11-30,8.6405
1977-10-31,8.615
1977-09-30,8.73
1977-08-31,8.7213
1977-07-31,8.8163
1977-06-30,8.8605
1977-05-31,8.8338
1977-04-30,8.8429
1977-03-31,8.8417
1977-02-28,8.8626
1977-01-31,8.9052
1976-12-31,8.8535
1976-11-30,8.9658
1976-10-31,8.896
1976-09-30,9.0614
1976-08-31,8.9755
1976-07-31,8.9233
1976-06-30,9.1109
1976-05-31,9.0265
1976-04-30,8.9918
1976-03-31,8.9648
1976-02-29,8.9389
1976-01-31,8.9471
1975-12-31,8.9827
1975-11-30,8.8994
1975-10-31,8.8945
1975-09-30,8.8648
1975-08-31,8.7895
1975-07-31,8.4895
1975-06-30,8.1914
1975-05-31,8.07
1975-04-30,7.8841
1975-03-31,7.75
1975-02-28,7.9717
1975-01-31,8.13
1974-12-31,8.0952
1974-11-30,8.0644
1974-10-31,8.0505
1974-09-30,8.121
1974-08-31,7.9841
1974-07-31,7.8345
1974-06-30,7.849
1974-05-31,7.7855
1974-04-30,7.8655
1974-03-31,8.0567
1974-02-28,8.2444
1974-01-31,8.4377
1973-12-31,8.11
1973-11-30,7.834
1973-10-31,7.7271
1973-09-30,7.7
1973-08-31,7.5643
1973-07-31,7.351
1973-06-30,7.2719
1973-05-31,7.4927
1973-04-30,7.5462
1973-03-31,7.5465
1973-02-28,7.7538
1973-01-31,8.0041
